Mat:2917 | Nome:Aluno_1917 | Curso:Curso_2 | Ano:2020 | Coef:7.00
Mat:2918 | Nome:Aluno_1918 | Curso:Curso_3 | Ano:2021 | Coef:8.00
Mat:2919 | Nome:Aluno_1919 | Curso:Curso_4 | Ano:2022 | Coef:9.00
Mat:2920 | Nome:Aluno_1920 | Curso:Curso_0 | Ano:2018 | Coef:6.00
Mat:2921 | Nome:Aluno_1921 | Curso:Curso_1 | Ano:2019 | Coef:7.00
Mat:2922 | Nome:Aluno_1922 | Curso:Curso_2 | Ano:2020 | Coef:8.00
Mat:2923 | Nome:Aluno_1923 | Curso:Curso_3 | Ano:2021 | Coef:9.00
Mat:2924 | Nome:Aluno_1924 | Curso:Curso_4 | Ano:2022 | Coef:6.00
Mat:2925 | Nome:Aluno_1925 | Curso:Curso_0 | Ano:2018 | Coef:7.00
Mat:2926 | Nome:Aluno_1926 | Curso:Curso_1 | Ano:2019 | Coef:8.00
Mat:2927 | Nome:Aluno_1927 | Curso:Curso_2 | Ano:2020 | Coef:9.00
Mat:2928 | Nome:Aluno_1928 | Curso:Curso_3 | Ano:2021 | Coef:6.00
Mat:2929 | Nome:Aluno_1929 | Curso:Curso_4 | Ano:2022 | Coef:7.00
Mat:2930 | Nome:Aluno_1930 | Curso:Curso_0 | Ano:2018 | Coef:8.00
Mat:2931 | Nome:Aluno_1931 | Curso:Curso_1 | Ano:2019 | Coef:9.00
Mat:2932 | Nome:Aluno_1932 | Curso:Curso_2 | Ano:2020 | Coef:6.00
Mat:2933 | Nome:Aluno_1933 | Curso:Curso_3 | Ano:2021 | Coef:7.00
Mat:2934 | Nome:Aluno_1934 | Curso:Curso_4 | Ano:2022 | Coef:8.00
Mat:2935 | Nome:Aluno_1935 | Curso:Curso_0 | Ano:2018 | Coef:9.00
Mat:2936 | Nome:Aluno_1936 | Curso:Curso_1 | Ano:2019 | Coef:6.00
Mat:2937 | Nome:Aluno_1937 | Curso:Curso_2 | Ano:2020 | Coef:7.00
Mat:2938 | Nome:Aluno_1938 | Curso:Curso_3 | Ano:2021 | Coef:8.00
Mat:2939 | Nome:Aluno_1939 | Curso:Curso_4 | Ano:2022 | Coef:9.00
Mat:2940 | Nome:Aluno_1940 | Curso:Curso_0 | Ano:2018 | Coef:6.00
Mat:2941 | Nome:Aluno_1941 | Curso:Curso_1 | Ano:2019 | Coef:7.00
Mat:2942 | Nome:Aluno_1942 | Curso:Curso_2 | Ano:2020 | Coef:8.00
Mat:2943 | Nome:Aluno_1943 | Curso:Curso_3 | Ano:2021 | Coef:9.00
Mat:2944 | Nome:Aluno_1944 | Curso:Curso_4 | Ano:2022 | Coef:6.00
Mat:2945 | Nome:Aluno_1945 | Curso:Curso_0 | Ano:2018 | Coef:7.00
Mat:2946 | Nome:Aluno_1946 | Curso:Curso_1 | Ano:2019 | Coef:8.00
Mat:2947 | Nome:Aluno_1947 | Curso:Curso_2 | Ano:2020 | Coef:9.00
Mat:2948 | Nome:Aluno_1948 | Curso:Curso_3 | Ano:2021 | Coef:6.00
Mat:2949 | Nome:Aluno_1949 | Curso:Curso_4 | Ano:2022 | Coef:7.00
Mat:2950 | Nome:Aluno_1950 | Curso:Curso_0 | Ano:2018 | Coef:8.00
Mat:2951 | Nome:Aluno_1951 | Curso:Curso_1 | Ano:2019 | Coef:9.00
Mat:2952 | Nome:Aluno_1952 | Curso:Curso_2 | Ano:2020 | Coef:6.00
Mat:2953 | Nome:Aluno_1953 | Curso:Curso_3 | Ano:2021 | Coef:7.00
Mat:2954 | Nome:Aluno_1954 | Curso:Curso_4 | Ano:2022 | Coef:8.00
